"Nome","Entidade / Veículo","Perfil","Histórico Relevante","Tese de Fit","Ticket Estimado","Canal de Contato","Estágio no Funil","Próxima Ação"
"Federico Vega","Frete.com / CargoX (CEO)","Anjo Setorial","Estruturou o principal ecossistema de frete digital rodoviário da LATAM","Autotech para veículos pesados e conectividade","R$ 100 mil a R$ 300 mil","Redes globais de logtech — LinkedIn","Mapeado","Enviar Template 1 com caso de uso de integração com pátios"
"Eduardo Rocha","Klubi (CEO)","Anjo Setorial","Ex-CEO do Grupo Rodobens por 8 anos (concessionárias e consórcios)","Consórcio as a service, crédito alternativo e seguros","R$ 200 mil a R$ 500 mil","Klubi — LinkedIn / rede Insper","Mapeado","Agendar conversa sobre originação de consórcio a partir de leads do DAA"
"Paulo Cardamone","Bright Consulting (CEO)","Anjo Setorial","Líder de consultoria de inteligência competitiva e regulação automotiva","Análise preditiva de frota e dados regulatórios","R$ 50 mil a R$ 200 mil","Conselhos técnicos — Bright Consulting","Mapeado","Enviar Template 1 com dados setoriais de latência de fim de semana"
"Cassio Pagliarini","Bright Consulting (CMO)","Anjo Setorial","Ex-Diretor de Estratégia de Produto da Ford e Renault","Precificação algorítmica de seminovos e software veicular","R$ 50 mil a R$ 200 mil","Bright Consulting — LinkedIn","Mapeado","Enviar Template 1 com roteiro de dados de precificação em tempo real"
"Alarico Assumpção Júnior","Fenabrave (Presidente do Conselho)","Anjo Setorial","Ex-presidente executivo da Fenabrave; líder de redes de concessionárias","DMS e automação para redes de concessionárias","R$ 200 mil a R$ 500 mil","Fenabrave Innovation Labs — programa","Mapeado","Apresentar na Fenabrave Innovation como chancela setorial e canal de distribuição"
"Sergio Habib","Grupo SHC / JAC Motors (Presidente)","Anjo Corporativo","Responsável pela consolidação da Citroën e JAC Motors no Brasil","Canais de distribuição direta ao consumidor","R$ 200 mil a R$ 500 mil","LinkedIn InMail — Grupo SHC","Mapeado","Enviar Template 1 com piloto em rede autorizada JAC"
"Carlos Alberto de Oliveira Andrade Filho","CAOA (Presidente do Conselho)","Anjo Corporativo","Maior grupo independente de distribuição e manufatura automotiva da AL","Conectividade veicular e logística reversa de autopeças","R$ 500 mil a R$ 1 milhão","CAOA Ventures — M&A/CVC","Mapeado","Abordar via CVC para projeto-piloto em multicanalidade de inventário"
"Orlando Merluzzi","MA8 Management Consulting (Fundador)","Anjo Setorial","+35 anos executivo C-Level em Fiat, Volvo e Ford","Pós-venda, pós-garantia e telemetria preditiva","R$ 100 mil a R$ 300 mil","MA8 — LinkedIn / IBGC","Mapeado","Enviar Template 1 com caso de integração com DMS de pós-venda"
"Marcelo Franciulli","Consultor — Varejo Automotivo","Anjo Setorial","Ex-Diretor Executivo da Fenabrave; interlocução com montadoras e revendas","Martech para distribuição e repasse B2B","R$ 50 mil a R$ 200 mil","Comitês consultivos — via Fenabrave","Mapeado","Enviar Template 1 com dados de conformidade fiscal veicular"
"Flavio Meneghetti","Empresário / Conselheiro Distribuição","Anjo Setorial","Ex-liderança em associações regionais de revendedores","Repasse interlojas e esteiras de laudos cautelares","R$ 50 mil a R$ 200 mil","Redes regionais de revendas","Mapeado","Enviar Template 1 com estudo de caso de redução de inventário fantasma"
"Canary","Canary","Fundo VC","Primeiro cheque institucional; portfólio Gupy, Revena, Bull, Comp","Seed LATAM SaaS B2B; chancela para Série A","US$ 1M a US$ 3M (R$ 5M a R$ 15M)","Portal institucional + rede de fundadores","Mapeado","Submeter no portal após atingir MRR alvo e referenciais de portfólio"
"Maya Capital","Maya Capital","Fundo VC","Pré-Seed e Seed; recrutamento e pontes corporativas","Software B2B com retenção e expansão de contas","US$ 500 mil a US$ 2M (R$ 2,5M a R$ 10M)","Formulário estruturado no website + bilaterais","Mapeado","Warm intro via rede de fundadores antes da submissão formal"
"DOMO.VC","DOMO.VC (Domo Invest)","Fundo VC","Seed e Pré-Seed estruturado; portfólio Conta Simples, CarbigData","SaaS corporativo e acesso a compradores enterprise","R$ 1M a R$ 5M","Plataforma digital corporativa + sindicatos B2B parceiros","Mapeado","Mapear lead enterprise no portfólio e solicitar introdução comercial"
"Bossa Invest","Bossa Nova / Bossa Invest","Fundo VC","Micro-VC pré-seed com PSF; portfólio MeEventos, RevisaPrev","Validação ágil com sindicatos amplos de coinvestimento","R$ 100 mil a R$ 500 mil","Portal de triagem quantitativa online","Mapeado","Submeter no portal com métricas padronizadas de CAC payback e NRR"
"SaaSholic","SaaSholic (Fundo III)","Fundo VC","Seed/Pré-Seed SaaS B2B puro; horizontes de internacionalização LATAM-EUA","Go-to-market, precificação e expansion","US$ 1M a US$ 1,5M","Formulário SaaSholic + warm intro de cofundadores","Mapeado","Enviar Template 3 com data room de unit economics e roadmap de IA"
"Astella Investimentos","Astella","Fundo VC","Seed avançado/Série A; unit economics rígidos e canais próprios","SaaS corporativo com canais de distribuição saudáveis","R$ 3M a R$ 20M","Bilaterais + referências de mercado","Mapeado","Solicitar bilaterais ao atingir ARR acima de R$ 1M com NRR auditado"
"ONEVC","ONEVC","Fundo VC","Seed; software verticalizado B2B; suporte a captações globais","Vertical SaaS com exposição a corporações norte-americanas","US$ 500 mil a US$ 2M","Bilaterais dedicadas de suporte","Mapeado","Enviar Template 3 pedindo reunião de pitch e roadmap de expansão"
"Latitud Ventures","Latitud","Fundo VC","Pré-Seed / First Check; comunidade e programas educacionais","Vertical SaaS e comércio B2B na LATAM","US$ 250 mil","Comunidade Latitud — programa","Mapeado","Ingressar em programa Latitud e submeter via comunidade"
"Iporanga Ventures","Iporanga Ventures","Fundo VC","Seed/Série A; infraestrutura corporativa complexa e software","Software com barreiras de dados e crédito","R$ 2M a R$ 15M","Bilaterais / consórcio","Mapeado","Mapear sinergia com backoffice e agendar apresentação do comitê"
"Caravela Capital","Caravela Capital","Fundo VC","Seed/Pré-Seed; SaaS corporativo com automação via IA","Automação com IA e análise veloz","R$ 2M a R$ 6M","Bilaterais — contato do comitê","Mapeado","Enviar Template 3 com caso de uso de IA no feed do DAA"
"Norte Ventures","Norte Ventures","Sindicato de Operadores","Co-investimento Seed liderado por operadores","Aceleração sem conselho e coinvestimento","US$ 100 mil a US$ 500 mil","Coinvestimento via sindicato","Mapeado","Enviar memorando de rodada após angariar anjo líder"
"BR Angels Smart Network","BR Angels","Rede de Anjos","Smart money executivo em pré-seed/seed (AutoForce, LandApp)","Smart money setorial e destravamento B2B","R$ 10 mil a R$ 150 mil","Inscrição BR Angels","Mapeado","Inscrever projeto e solicitar rodada de pitch em evento mensal"
"GVAngels","GVAngels","Rede de Anjos","Rede de ex-alunos FGV (AutoForce, Kovi, DeÔnibus)","Anjos executivos de financeiro e tech","R$ 10 mil a R$ 150 mil","Inscrição GVAngels","Mapeado","Inscrever projeto e buscar warm intro de membro"
"Poli Angels","Poli Angels","Rede de Anjos","Engenheiros e ex-alunos da Poli-USP (Bynd, mobilidade profunda)","Mobilidade e IoT em estágio inicial","R$ 10 mil a R$ 100 mil","Inscrição Poli Angels","Mapeado","Inscrever projeto com destaque para infraestrutura e parser"
"Gávea Angels","Gávea Angels","Rede de Anjos","Associação pioneira de anjos no RJ (rotas urbanas, frotas)","Softwares de frotas e logística de última milha","R$ 10 mil a R$ 100 mil","Inscrição Gávea Angels","Mapeado","Inscrever projeto e apresentar em reunião bimestral"
"FJ Labs (veículo)","FJ Labs","Veículo Global","Veículo focado em marketplaces e redes transacionais (InstaCarro)","Marketplaces e redes transacionais","US$ 250 mil+","FJ Labs — portal de submissão (fjlabs.com)","Mapeado","Enviar Template 3 em paralelo à abordagem do fundador Fabrice Grinda"
