Mês;Clientes Início;Novos Clientes;Churn Clientes;Clientes Fim;MRR Início (R$);MRR Novo (R$);MRR Churn (R$);MRR Expansão (R$);MRR Fim (R$);ARR (R$);ARPU (R$);Receita Bruta (R$);Impostos (R$);Receita Líquida (R$);COGS/Infra (R$);Lucro Bruto (R$);Margem Bruta (%);Folha & Headcount (R$);Mídia & Vendas (R$);G&A Administrativo (R$);Total OPEX (R$);EBITDA (R$);Fluxo de Caixa Livre (R$);Saldo de Caixa Acumulado (R$)
M11;358;62;8;412;76140.42;11814.00;1598.95;1979.65;88335.13;1060021.50;214.41;88335.13;5300.11;83035.02;5738.00;77297.02;93.1%;57000.00;12000.00;5500.00;74500.00;2797.02;2797.02;816892.62
M12;412;66;9;469;88335.13;12702.00;1855.04;2296.71;101478.80;1217745.61;216.37;101478.80;6088.73;95390.07;6393.50;88996.57;93.3%;57000.00;13000.00;5500.00;75500.00;13496.57;13496.57;830389.19
M13;469;45;10;504;101478.80;8665.00;2131.05;2638.45;110651.19;1327814.34;219.55;110651.19;8852.10;101799.10;6796.00;95003.10;93.3%;72000.00;14000.00;6000.00;92000.00;3003.10;3003.10;833392.29
M14;504;46;11;539;110651.19;8862.00;2323.68;2876.93;120066.45;1440797.41;222.76;120066.45;9605.32;110461.13;7198.50;103262.63;93.5%;72000.00;14500.00;6000.00;92500.00;10762.63;10762.63;844154.93
M15;539;48;11;576;120066.45;9156.00;2521.40;3121.73;129822.78;1557873.39;225.39;129822.78;10385.82;119436.96;7624.00;111812.96;93.6%;72000.00;15000.00;6500.00;93500.00;18312.96;18312.96;862467.89
M16;576;50;12;614;129822.78;9450.00;2726.28;3375.39;139921.90;1679062.76;227.89;139921.90;11193.75;128728.15;8061.00;120667.15;93.7%;72000.00;15500.00;6500.00;94000.00;26667.15;26667.15;889135.03
M17;614;52;13;653;139921.90;10044.00;2938.36;3637.97;150665.51;1807986.08;230.73;150665.51;12053.24;138612.27;8509.50;130102.77;93.9%;72000.00;16000.00;7000.00;95000.00;35102.77;35102.77;924237.80
M18;653;53;14;692;150665.51;10141.00;3163.98;3917.30;161559.83;1938718.01;233.47;161559.83;12924.79;148635.05;8958.00;139677.05;94.0%;72000.00;16500.00;7000.00;95500.00;44177.05;44177.05;968414.84
M19;692;55;15;732;161559.83;10535.00;3392.76;4200.56;172902.63;2074831.60;236.21;172902.63;13832.21;159070.42;9418.00;149652.42;94.1%;82000.00;17000.00;7500.00;106500.00;43152.42;43152.42;1011567.27
M20;732;56;15;773;172902.63;10632.00;3630.96;4495.47;184399.15;2212789.75;238.55;184399.15;14751.93;169647.21;9889.50;159757.71;94.2%;82000.00;17500.00;7500.00;107000.00;52757.71;52757.71;1064324.98
M21;773;57;16;814;184399.15;11029.00;3872.38;4794.38;196350.14;2356201.70;241.22;196350.14;15708.01;180642.13;10361.00;170281.13;94.3%;82000.00;18000.00;8000.00;108000.00;62281.13;62281.13;1126606.11
M22;814;58;17;855;196350.14;11226.00;4123.35;5105.10;208557.89;2502694.71;243.93;208557.89;16684.63;191873.26;10832.50;181040.76;94.4%;82000.00;18500.00;8000.00;108500.00;72540.76;72540.76;1199146.87
M23;855;59;18;896;208557.89;11123.00;4379.72;5422.51;220723.68;2648684.18;246.34;220723.68;17657.89;203065.79;11304.00;191761.79;94.4%;82000.00;19000.00;8500.00;109500.00;82261.79;82261.79;1281408.66
M24;896;60;19;937;220723.68;11520.00;4635.20;5738.82;233347.30;2800167.61;249.04;233347.30;18667.78;214679.52;11775.50;202904.02;94.5%;82000.00;19500.00;8500.00;110000.00;92904.02;92904.02;1374312.68
